instantHour,dteday,seasonHour,yrHour,mnthHour,hr,holidayHour,weekdayHour,workingdayHour,weathersitHour,tempHour,atempHour,humHour,windspeedHour,casualHour,registeredHour,cntHour,instantDay,seasonDay,yrDay,mnthDay,holidayDay,weekdayDay,workingdayDay,weathersitDay,tempDay,atempDay,humDay,windspeedDay,casualDay,registeredDay,cntDay
1,2011-01-01,Dingin,0,Jan,0,0,6,0,Baik,3.2799999999999994,0.2879,81.0,0.0,3.0,13.0,16.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
2,2011-01-01,Dingin,0,Jan,1,0,6,0,Baik,2.34,0.2727,80.0,0.0,8.0,32.0,40.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
3,2011-01-01,Dingin,0,Jan,2,0,6,0,Baik,2.34,0.2727,80.0,0.0,5.0,27.0,32.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
4,2011-01-01,Dingin,0,Jan,3,0,6,0,Baik,3.2799999999999994,0.2879,75.0,0.0,3.0,10.0,13.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
5,2011-01-01,Dingin,0,Jan,4,0,6,0,Baik,3.2799999999999994,0.2879,75.0,0.0,0.0,1.0,1.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
6,2011-01-01,Dingin,0,Jan,5,0,6,0,Mendung,3.2799999999999994,0.2576,75.0,6.0032,0.0,1.0,1.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
7,2011-01-01,Dingin,0,Jan,6,0,6,0,Baik,2.34,0.2727,80.0,0.0,2.0,0.0,2.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
8,2011-01-01,Dingin,0,Jan,7,0,6,0,Baik,1.4000000000000004,0.2576,86.0,0.0,1.0,2.0,3.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
9,2011-01-01,Dingin,0,Jan,8,0,6,0,Baik,3.2799999999999994,0.2879,75.0,0.0,1.0,7.0,8.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
10,2011-01-01,Dingin,0,Jan,9,0,6,0,Baik,7.040000000000001,0.3485,76.0,0.0,8.0,6.0,14.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
